player,team,touchdowns
C.McCaffrey,CAR,15
D.Henry,TEN,16
A.Jones,GB,16
E.Elliott,DAL,12
D.Cook,MIN,13
N.Chubb,CLE,8
A.Ekeler,LAC,3
M.Ingram,NO,10
C.Carson,SEA,7
S.Barkley,NYG,6
J.Mixon,CIN,5
T.Gurley,FA,12
L.Fournette,TB,3
J.Jacobs,LV,7
M.Sanders,PHI,3
A.Kamara,NO,5
M.Mack,IND,8
K.Drake,LV,8
P.Lindsay,MIA,7
R.Mostert,SF,8
L.Bell,FA,3
D.Montgomery,CHI,6
C.Hyde,JAC,6
S.Michel,LAR,7
M.Gordon,DEN,8
D.Freeman,BAL,2
R.Jones,TB,6
A.Peterson,SEA,5
J.White,NE,1
L.Murray,BAL,5
D.Singletary,BUF,2
T.Coleman,NYJ,6
J.Conner,ARI,4
D.Williams,CHI,5
D.Johnson,MIA,2
J.Williams,DET,1
D.Johnson,HOU,2
J.Howard,PHI,6
P.Barber,LV,6
R.Freeman,HOU,3
L.McCoy,FA,4
D.Washington,FA,3
G.Edwards,BAL,2
T.Cohen,CHI,0
M.Breida,BUF,1
F.Gore,FA,2
K.Johnson,FA,3
T.Pollard,DAL,2
R.Burkhead,HOU,3
N.Hines,IND,2
B.Scott,PHI,5
C.Edmonds,ARI,4
R.Penny,SEA,3
K.Hunt,CLE,2
A.Mattison,MIN,1
J.Samuels,ARI,1
B.Hill,SF,2
M.Brown,MIA,5
B.Snell,PIT,2
D.Williams,KC,3
C.Thompson,FA,0
D.Guice,FA,2
J.McKissic,WAS,0
J.Wilkins,FA,2
M.Boone,DEN,3
J.Richard,LV,0
P.Laird,MIA,1
J.Wilson,SF,4
B.Scarbrough,LV,1
B.Bolden,NE,3
J.Hill,BAL,2
D.Lewis,FA,0
D.Ogunbowale,JAC,2
G.Bernard,TB,0
K.Ballage,PIT,3
W.Gallman,MIN,2
R.Armstead,JAC,0
T.Johnson,NYJ,0
J.Williams,WAS,1
K.Juszczyk,SF,0
Q.Ollison,ATL,4
M.Walton,FA,0
B.Powell,FA,0
D.Hilliard,TEN,2
I.Smith,DAL,1
M.Gaskin,MIA,1
A.Abdullah,CAR,0
R.Bonnafon,WAS,1
D.Thompson,KC,1
J.Jackson,LAC,0
C.Ham,MIN,0
T.Montgomery,NO,0
C.Prosise,FA,1
D.Henderson,LAR,0
T.Homer,SEA,0
T.Yeldon,FA,0
W.Smallwood,FA,0
W.Hills,FA,2
T.Edmunds,PIT,0
K.Whyte,FA,0
A.Ingold,LV,0
D.Sproles,FA,0
J.Allen,FA,1
A.Janovich,CLE,1
D.Watt,PIT,1
D.Vitale,FA,0
M.Lynch,FA,1
D.Johnson,CLE,0
K.Barner,TB,0
A.Armah,WAS,1
T.Pope,FA,0
S.Ware,FA,0
D.Washington,NO,0
T.Carson,FA,0
D.Booker,NYG,0
Z.Line,FA,0
K.Blasingame,TEN,0
J.Hilliman,FA,0
D.Ozigbo,NE,0
T.Jones,BUF,0
M.Davis,ATL,0
P.DiMarco,FA,0
E.Penny,NYG,0
C.Anderson,FA,0
P.Perkins,FA,0
A.Sherman,FA,0
J.Ajayi,FA,0
D.Dawkins,DET,0
T.Logan,FA,0
K.Smith,ATL,0
T.Ervin,FA,0
N.Bawden,NYJ,0
Z.Zenner,FA,0
S.Perine,CIN,0
J.Adams,NO,0
D.Harris,NE,0
D.Williams,CLE,0
B.Howell,LAR,0
J.Scarlett,MIA,0
J.Ferguson,FA,0
J.Kelly,CLE,0
R.Nall,CHI,0
R.Ortiz,FA,0
T.Brooks-James,FA,0
D.Turner,FA,0
J.Johnson,NE,0
R.Nix,FA,0
A.Morris,NYG,0
S.Perry,FA,0
J.Develin,FA,0
P.Guerriero,PIT,0
G.Ricci,CAR,0
C.Hubbard,CAR,0
A.Williams,NYG,0
R.Gilliam,BUF,0
J.Ward,ARI,0
N.Cottrell,JAC,0
G.Nabers,LAC,0
T.Williams,BAL,0
R.Dowdle,DAL,0
J.Huntley,PHI,0
S.Olonilua,DAL,0
J.Hokit,SF,0
J.Bargas,MIN,0
D.Felton,CLE,0
M.Sargent,JAC,0
J.Patterson,WAS,0
T.Ragas,LV,0
S.Platzgummer,NYG,0
J.Jefferson,DET,0
P.Williams,CIN,0
D.Jackson,IND,0
J.Taylor,IND,0
J.Robinson,JAC,0
E.Holyfield,CIN,0
A.Ware,TB,0
C.Cox,FA,0
S.Smith,LV,0
M.Weber,NYG,0
D.Crockett,DEN,0
T.Williams,CIN,0
T.Wesco,NYJ,0
D.Ernsberger,FA,0
J.Chunn,FA,0
D.Newsome,FA,0
J.Stanton,CLE,0
C.Gillaspia,NYG,0
A.Beck,DEN,0
J.Hasty,SF,0
S.Ahmed,MIA,0
D.Bradwell,CAR,0
T.Jones,NO,0
D.Anderson,HOU,0
J.Kelley,LAC,0
J.Taylor,NE,0
T.Feaster,ARI,0
J.Leake,DET,0
T.Sermon,SF,0
D.Evans,TEN,0
A.Killins,DEN,0
A.Gibson,WAS,0
R.Calais,LAR,0
S.Phillips,HOU,0
P.Taylor,GB,0
L.Rountree,LAC,0
D.Dallas,SEA,0
M.Warren,DET,0
C.Huntley,ATL,0
C.Reynolds,DET,0
A.Walter,NYJ,0
A.McFarland,PIT,0
K.Hill,GB,0
E.Benjamin,ARI,0
A.Dillon,GB,0
K.Vaughn,TB,0
L.Perine,NYJ,0
C.Edwards-Helaire,KC,0
N.Harris,PIT,0
D.Gore,KC,0
C.Akers,LAR,0
Z.Moss,BUF,0
J.Dobbins,BAL,0
T.Etienne,JAC,0
D.Swift,DET,0
M.Carter,NYJ,0
E.Mitchell,SF,0
C.Evans,CIN,0
K.Herbert,CHI,0
J.Hawkins,TEN,0
J.Williams,DEN,0
R.Stevenson,NE,0
J.Funk,LAR,0
N.McCrary,BAL,0
J.Johnson,SEA,0
A.Prentice,NO,0
T.Harbison,CLE,0
N.Ralston,DAL,0
A.Rose,MIN,0
J.Hardy,DAL,0
T.Carter,TEN,0
K.Gainwell,PHI,0
G.Brightwell,NYG,0
G.Doaks,MIA,0
M.Stokke,CAR,0
S.Brown,CAR,0
K.Nwangwu,MIN,0
S.Ridley,FA,0
I.Odim,LAC,0
C.Spann,HOU,0
J.Finley,CIN,0
S.Bannon,KC,0
L.Blount,FA,0
A.Anderson,BUF,0
C.Ivory,FA,0
G.Mills,NE,0
N.Bellore,SEA,0
D.Harris,FA,0
X.Omon,SF,0
T.Cadet,FA,0
C.Patterson,ATL,0
J.Olawale,DAL,0
L.Miller,FA,0
R.Turbin,FA,0
J.Stewart,FA,0
J.Charles,FA,0
D.Savage,CAR,0
A.Alridge,WAS,0
C.Simpson,WAS,0
S.Gado,TEN,0
K.Irons,CIN,0
M.Bell,BUF,0
M.Lawrence,BAL,0
M.Mason,LAC,0
M.Mailei,NO,0
M.Hedgecock,NYG,0
T.Cannon,SF,0
D.Foster,FA,0
K.Dixon,FA,0
A.Collins,SEA,0
J.Holtz,CHI,0
M.Burton,KC,0
R.Smith,FA,0
G.Igwebuike,DET,0
J.Cabinda,DET,0
L.Coleman,FA,0
P.Ricard,BAL,0
J.Williams,FA,0
J.McNichols,FA,0
D.Foreman,TEN,0
T.Madden,FA,0
B.Bryant,BUF,0
T.Mizzell,NYG,0
J.Davis,FA,0
W.Carter,CHI,0
J.Hill,FA,0
C.Isles,DET,0
D.Fluellen,FA,0
J.McKinnon,KC,0
T.Flanders,NO,0
M.Gillislee,FA,0
C.Michael,FA,0
D.Coleman,FA,0
B.Clay,DEN,0
